sample_id,video_id,clip_id,duration_sec,text_valid_len,audio_valid_len,vision_valid_len,text_dim,audio_dim,vision_dim,alignment_positions,padding_rule
0,-3g5yACwYnA,13,5.51,50,49,28,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
1,-3g5yACwYnA,3,14.39,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
2,-3g5yACwYnA,2,9.39,50,50,47,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
3,-3g5yACwYnA,9,8.82,50,50,44,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
4,-3nNcZdcdvU,5,7.87,50,50,40,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
5,-HwX2H8Z4hY,2,3.98,50,50,20,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
6,-HwX2H8Z4hY,5,5.65,50,49,29,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
7,-HwX2H8Z4hY,6,3.36,50,49,17,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
8,-HwX2H8Z4hY,9,7.73,50,50,39,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
9,-NFrJFQijFE,1,5.75,50,49,29,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
10,-NFrJFQijFE,2,6.86,50,49,35,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
11,-THoVjtIkeU,12,14.9,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
12,-THoVjtIkeU,2,4.29,50,50,22,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
13,-THoVjtIkeU,6,8.1,50,50,41,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
14,-UuX1xuaiiE,1,10.35,50,50,50,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
15,-UuX1xuaiiE,0,3.63,50,49,19,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
16,-UuX1xuaiiE,3,4.13,50,49,21,768,74,35,50,"零向量填充; 位置[iT/50,(i+1)T/50]无原始证据则为零; 文本无逐词时间戳按句序均匀映射"
